nodeId,type,depth,oldName,newName,action,tailwindHint,note
779:2573,frame,0,Main,Main,不變,<main> · flex flex-col,
779:2574,frame,1,Hero Carousel Section,Section/HeroCarousel,改名,relative w-full h-[480px] overflow-hidden,
779:2575,frame,2,Slides,Carousel/Slides,改名,flex,
779:2576,frame,3,Slide,Carousel/Slide,改名,relative w-full h-full,
779:2577,rounded-rectangle,4,Image,Media/HeroImage,改名,absolute inset-0 object-cover,
779:2578,rounded-rectangle,4,Overlay,Media/HeroOverlay,改名,absolute inset-0 bg-black/30,
779:2579,frame,4,Box,Carousel/SlideContent,改名,absolute inset-0,原名 Box，實為疊在圖上的內容容器（目前為空）
779:2580,frame,2,Indicator,Carousel/Indicator,改名,flex gap-1.5,
782:2572,frame,1,StackWrap,Section/BookingForm,改名,w-full px-8,
779:2584,frame,2,Stack,Card/BookingForm,改名,flex flex-col md:flex-row gap-8 rounded-2xl bg-surface,原名 Stack，實為三欄白色卡片
779:2585,frame,3,SectionWrap,Column/PartySize,改名,flex flex-col gap-4 md:w-[400px],
779:2586,frame,4,Section,Section/PartySize,改名,flex flex-col,
779:2587,frame,5,Block,Stack/PartySizeBody,改名,flex flex-col gap-6,原名 Block
779:2588,frame,6,Heading,Heading/PartySize,改名,text-lg font-medium,
779:2589,text,7,用餐人數,用餐人數,不變（text 保留文案）,,
779:2590,frame,6,Row,Stack/StepperGroup,改名,flex flex-col gap-3,原名 Row，實際是垂直堆疊（縱向 156px / 兩列 48px）
779:2591,frame,7,Stepper,Field/PartySizeAdult,改名,flex items-center justify-between,
779:2592,frame,8,成人,Label/Adult,改名,text-sm,
779:2593,text,9,成人,成人,不變（text 保留文案）,,
835:636,instance,8,stepper,[Comp] Stepper/Adult,改名,,元件實例，工程師直接 import <Stepper />
779:2601,frame,7,Stepper,Field/PartySizeChild,改名,flex items-center justify-between,
779:2602,frame,8,小孩 0-7歲,Label/Child,改名,text-sm,
779:2603,text,9,小孩 (0-7歲),小孩 (0-7歲),不變（text 保留文案）,,
835:646,instance,8,stepper,[Comp] Stepper/Child,改名,,元件實例，工程師直接 import <Stepper />
779:2611,frame,4,Background+VerticalBorder,Notice/PartySizeLimit,改名,border-l-4 bg-surface-alt p-4 text-sm,原名 Background+VerticalBorder，是左側色條的說明區塊
779:2612,text,5,預約說明： 超過 8 人的團體預約，請直接撥打電話聯繫我們的專屬客服。,預約說明： 超過 8 人的團體預約，請直接撥打電話聯繫我們的專屬客服。,不變（text 保留文案）,,
779:2613,frame,4,Margin,Spacer/PartySizeBottom,改名,h-px,原名 Margin，1px 高。⚠️ 請確認這是分隔線還是純佔位，我先當佔位命名
779:2614,frame,3,Section,Section/DatePicker,改名,flex flex-col gap-4 md:w-[400px],
779:2615,frame,4,Heading,Heading/DatePicker,改名,text-lg font-medium,
779:2616,text,5,選擇日期,選擇日期,不變（text 保留文案）,,
779:2617,frame,4,2026 年 8月,Row/MonthNav,改名,flex items-center justify-between,原名「2026 年 8月」，是月份切換列
779:2618,frame,5,2026 年 8月,Label/CurrentMonth,改名,text-base font-medium,
779:2619,text,6,2026 年 8月,2026 年 8月,不變（text 保留文案）,,
779:2620,frame,5,Row,Row/MonthNavButtons,改名,flex gap-1.5,
779:2621,frame,6,Button - 上個月,Button/PrevMonth,改名,size-[30px] rounded hover:bg-surface-alt,
779:2622,frame,7,ChevLeft,Icon/ChevronLeft,改名,size-4,
779:2624,frame,6,Button - 下個月,Button/NextMonth,改名,size-[30px] rounded hover:bg-surface-alt,
779:2625,frame,7,ChevRight,Icon/ChevronRight,改名,size-4,
779:2627,frame,4,Calendar,Calendar/Grid,改名,flex flex-col,
779:2628,frame,5,Stack,Calendar/WeekdayHeader,改名,grid grid-cols-7,
779:2629,frame,6,Sun,Calendar/Weekday-Sun,改名,flex items-center justify-center,
779:2630,frame,7,Sun,Label/Sun,改名,text-xs text-text-muted,
779:2631,text,8,Sun,Sun,不變（text 保留文案）,,
779:2632,frame,6,Mon,Calendar/Weekday-Mon,改名,flex items-center justify-center,
779:2633,frame,7,Mon,Label/Mon,改名,text-xs text-text-muted,
779:2634,text,8,Mon,Mon,不變（text 保留文案）,,
779:2635,frame,6,Tue,Calendar/Weekday-Tue,改名,flex items-center justify-center,
779:2636,frame,7,Tue,Label/Tue,改名,text-xs text-text-muted,
779:2637,text,8,Tue,Tue,不變（text 保留文案）,,
779:2638,frame,6,Wed,Calendar/Weekday-Wed,改名,flex items-center justify-center,
779:2639,frame,7,Wed,Label/Wed,改名,text-xs text-text-muted,
779:2640,text,8,Wed,Wed,不變（text 保留文案）,,
779:2641,frame,6,Thu,Calendar/Weekday-Thu,改名,flex items-center justify-center,
779:2642,frame,7,Thu,Label/Thu,改名,text-xs text-text-muted,
779:2643,text,8,Thu,Thu,不變（text 保留文案）,,
779:2644,frame,6,Fri,Calendar/Weekday-Fri,改名,flex items-center justify-center,
779:2645,frame,7,Fri,Label/Fri,改名,text-xs text-text-muted,
779:2646,text,8,Fri,Fri,不變（text 保留文案）,,
779:2647,frame,6,Sat,Calendar/Weekday-Sat,改名,flex items-center justify-center,
779:2648,frame,7,Sat,Label/Sat,改名,text-xs text-text-muted,
779:2649,text,8,Sat,Sat,不變（text 保留文案）,,
779:2650,frame,5,Inner,Calendar/DayGridWrap,改名,overflow-hidden,原名 Inner
779:2651,frame,6,Stack,Calendar/DayGrid,改名,grid grid-cols-7,
779:2652,frame,7,26,Calendar/DayCell-2026-07-26,改名,flex items-center justify-center,
779:2653,frame,8,Button,Button/Day-2026-07-26 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2654,text,9,26,26,不變（text 保留文案）,,
779:2655,frame,7,27,Calendar/DayCell-2026-07-27,改名,flex items-center justify-center,
779:2656,frame,8,Button,Button/Day-2026-07-27 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2657,text,9,27,27,不變（text 保留文案）,,
779:2658,frame,7,28,Calendar/DayCell-2026-07-28,改名,flex items-center justify-center,
779:2659,frame,8,Button,Button/Day-2026-07-28 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2660,text,9,28,28,不變（text 保留文案）,,
779:2661,frame,7,29,Calendar/DayCell-2026-07-29,改名,flex items-center justify-center,
779:2662,frame,8,Button,Button/Day-2026-07-29 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2663,text,9,29,29,不變（text 保留文案）,,
779:2664,frame,7,30,Calendar/DayCell-2026-07-30,改名,flex items-center justify-center,
779:2665,frame,8,Button,Button/Day-2026-07-30 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2666,text,9,30,30,不變（text 保留文案）,,
779:2667,frame,7,31,Calendar/DayCell-2026-07-31,改名,flex items-center justify-center,
779:2668,frame,8,Button,Button/Day-2026-07-31 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2669,text,9,31,31,不變（text 保留文案）,,
779:2670,frame,7,1,Calendar/DayCell-2026-08-01,改名,flex items-center justify-center,
779:2671,frame,8,Button - 2026年8月1日,Button/Day-2026-08-01,改名,size-[34px] rounded-full hover:bg-surface-alt,
